4720,5760
4721,5761
4722,5762
4723,5763
4730,5911
4715,5928
4716,5929
4717,5944
4718,5927
4719,5920
4727,5855
4729,5937
4888,5939
4857,5941
4903,5940
,5900
,5901
,5774
,5903
4746,5942
4747,5943
,5776
,5770
,5771
4748,5828
4749,5877
4750,5902
4751,5870
4752,5871
4753,5854
4754,5879
4710,5909
4711,5893
4712,5895
4713,5948
4714,5831
,5826
,5827
4859,5891
,5822
4861,5884
,5777
,5807
,5802
,5803
,5825
4864,5839
,5804
4865,5840
4866,5841
4867,5842
4868,5843
4870,5910
4871,5873
4872,5830
4873,5946
4874,5947
4876,5914
4878,5935
4879,5936
4732,5915
4734,5931
4735,5894
4737,5896
4738,5875
4736,5878
4731,5882
4739,5847
4740,5846
4741,5848
,5823
4809,5887
4812,5888
,5819
,5816
,5821
4816,5856
,5767
,5765
,5801
,5800
4820,5845
,5805
,5806
,5766
,5880
,5808
4755,5922
4756,5923
4779,5916
,5773
4757,5938
,5775
4781,5919
4782,5892
4783,5921
4784,5917
4785,5897
4759,5945
4760,5886
4761,5913
4762,5859
4786,5857
,5860
4764,5861
4765,5925
4766,5924
4798,5918
,5769
4799,5874
4800,5872
4802,5829
4803,5853
,5768
4804,5852
4805,5851
4806,5849
4775,5850
,5824
4807,5883
,5820
,5782
,5781
,5784
,5783
,5789
,5785
,5787
,5786
,5788
,5791
,5790
,5792
,5793
,5815
,5794
,5795
,5812
,5813
,5796
,5797
,5817
,5818
,5798
,5814
,5799
,5809
,5810
,5811
4852,5930
4853,5904
4882,5876
4883,5908
4885,5907
,5772
4886,5881
4778,5926
4825,5898
4787,5858
,5778
,5779
4788,5862
4789,5863
4790,5864
4791,5865
4792,5866
4793,5867
4794,5868
4795,5869
4796,5912
4797,5836
4869,5885
4709,5889
,5844
5691,5890
5692,5933
5694,5934
5695,5932
5544,5899
,5780
4855,5906
4856,5905
4767,5837
4771,5838
